Country_Name_en,Country_name,Income_Group,Region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lower middle income,中低等收入国家,,,,,,7.389548692,7.868561976,8.563675493,9.90143769,10.52654438,6.877557741,11.98330676,15.86747812,12.8448738
Low & middle income,中低收入国家,,,,17.5807855,20.48740011,19.88541418,18.11182023,19.10178548,19.79068208,19.76177451,20.88613339,20.54554877,21.24839576,
Lesotho,莱索托,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,0.212685532,,0.208555305,
Late-demographic dividend,後期人口紅利,,,22.06624421,18.83951625,23.77559023,23.60197321,21.51428147,21.82970386,21.76293511,21.94458103,24.56558153,23.3811089,32.22693602,
Lithuania,立陶宛,高收入国家,,11.4996336,11.83303456,10.61261154,11.26119326,10.63704257,11.06287442,11.05562867,11.160203,12.80913389,12.71769824,12.56542494,12.11096478
Luxembourg,卢森堡,高收入国家,,10.70479854,8.008631866,10.31512579,8.769750396,9.045936249,8.683046745,6.845080351,5.974180916,7.10918742,7.969843636,7.141987405,6.970684624
Latvia,拉脱维亚,高收入国家,,7.361406954,7.330820529,8.629089551,8.309126213,9.319808536,11.25477577,15.22379121,17.68823877,18.82737488,17.13849003,17.49826061,19.33295487
"Macao SAR, China",中国澳门特别行政区,高收入国家,,2.781777503,3.471766502,7.03623833,,,,,0.163745252,,,,
St. Martin (French part),圣马丁（法属）,高收入国家,,,,,,,,,,,,,
Morocco,摩洛哥,中低等收入国家,中东与北非地区（不包括高收入）,,,,,,,,,3.668846606,3.740482715,3.838512727,
Monaco,摩纳哥,高收入国家,,,,,,,,,,,,,
Moldova,摩尔多瓦,中低等收入国家,欧洲与中亚地区（不包括高收入）,,,5.846458775,9.719816445,7.426182911,5.133482939,2.766905673,5.341322544,4.618848109,3.487664692,5.397344285,2.532451017
Madagascar,马达加斯加,低收入国家,撒哈拉以南非洲地区（不包括高收入）,1.082215029,0.721278641,1.720142088,1.624053175,9.729563708,0.455666754,0.472819525,0.637391379,0.256967159,1.086243832,0.561091374,
Maldives,马尔代夫,中高等收入国家,南亚,,,,,,,,,,0.025307379,0.14397589,
Middle East & North Africa,中东与北非地区,,,,,,,3.718216177,,3.204359219,4.792151745,,4.508470822,44.96485181,7.9882966
Mexico,墨西哥,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,20.59139786,22.71616697,22.17068431,21.17124009,21.39820069,20.53664287,20.36098301,19.69052638,20.773093,21.33358709,21.04185442
Marshall Islands,马绍尔群岛,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
Middle income,中等收入国家,,,,17.64782526,20.56332821,19.96140223,18.16606643,19.16410037,19.87375104,19.85965608,21.00819763,20.67112327,21.35478247,
North Macedonia,北马其顿,中高等收入国家,欧洲与中亚地区（不包括高收入）,0.901749405,,3.164123068,3.556668284,4.109484397,4.070393162,3.782486418,3.295910073,3.339404329,2.081776952,3.986681666,4.048493509
Mali,马里,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,3.21797651,,4.607103279,4.405401914,2.265941771,,,,6.523067735,1.244280211,
Malta,马耳他,高收入国家,,53.04772291,50.44974305,48.04199152,47.18460164,47.54622588,46.12614293,38.76805823,34.7772678,30.45143532,21.98735419,,32.21373153
Myanmar,缅甸,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,0.001822921,0.201948958,1.013570516,0.268343898,0.626644042,0.434243588,7.534957086,6.076907297,4.340878066
Middle East & North Africa (excluding high income),中东与北非地区（不包括高收入）,,,,,,,3.051199315,,,,,2.097534679,2.219733457,
Montenegro,黑山,中高等收入国家,欧洲与中亚地区（不包括高收入）,,9.510440353,24.33153699,10.53982569,17.81111242,10.79138009,7.876589267,14.80259185,13.26316899,5.592888284,4.251118931,3.168531291
Mongolia,蒙古,中低等收入国家,东亚与太平洋地区（不包括高收入）,7.706094016,,,,,,16.28387561,19.61692434,4.164654286,16.48509302,3.467828446,4.96360392
Northern Mariana Islands,北马里亚纳群岛,高收入国家,,,,,,,,,,,,,
Mozambique,莫桑比克,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,24.73824594,13.86864201,5.655302988,,1.671722335,11.74509993,5.64323844
Mauritania,毛里塔尼亚,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,0.002046525,,
Mauritius,毛里求斯,中高等收入国家,撒哈拉以南非洲地区（不包括高收入）,,7.476335916,2.007867079,0.693281485,0.80007595,0.929240002,0.575721919,0.029877373,0.114091092,0.107907574,2.385493631,2.598051035
Malawi,马拉维,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,2.407266656,3.701957044,2.208586691,17.91132546,2.111389546,12.14102021,4.077662119,2.424902922,19.90877807,11.50706526,
Malaysia,马来西亚,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,50.85543539,49.2842837,47.20933888,47.48002891,48.42434275,49.12784102,48.19569161,48.87498375,50.47770398,52.77180386
North America,北美,,,26.9008585,25.92873079,23.6841237,21.66650616,19.83420549,19.71611462,19.69417949,19.85120773,20.73700483,21.50016533,18.7879694,15.72303808
Namibia,纳米比亚,中高等收入国家,撒哈拉以南非洲地区（不包括高收入）,5.425776726,1.143192682,1.632758422,1.983018032,1.827109777,5.372359049,2.818913797,3.675468877,0.439186326,2.22345822,1.327147134,0.219520361
New Caledonia,新喀里多尼亚,高收入国家,,,0.660744938,8.565379193,0.896008673,15.44554613,10.7579733,14.03084735,13.15473954,5.268011012,,,
